steps,success
14709,True
2986,True
14889,True
14981,True
614,False
15148,True
14840,True
14841,True
14840,True
15195,False
14840,True
1724,False
3535,True
17023,True
2535,True
15013,True
675,True
2927,True
14863,True
14842,True
2188,False
14843,True
84,True
2474,True
250,True
17878,True
15312,True
2271,False
2070,True
15200,True
2300,True
3111,True
2063,True
15914,True
2536,False
1968,True
555,False
3437,True
4673,True
2989,True
2809,True
15053,False
14904,True
14837,False
14843,True
88,True
14707,True
2301,False
2188,False
15588,False
14953,False
15148,True
14884,False
15394,False
2543,False
14994,True
2391,True
4145,True
1988,True
15009,True
2102,True
15148,True
2034,True
15003,True
16541,False
2048,True
15374,True
14994,True
14696,True
14859,True
2381,True
2235,False
2866,True
2184,True
14841,True
15041,True
14994,True
3257,True
3092,True
2121,True
24622,True
2190,False
2791,False
14687,True
84,True
2802,True
14840,True
14840,True
14835,True
2453,True
2566,False
14979,False
84,True
15698,False
14840,True
16311,True
14698,True
84,True
14858,True
2131,True
14690,True
2546,False
87,False
14994,True
14840,True
14843,True
15390,True
2184,True
15042,False
2011,False
84,True
2310,True
2034,True
15091,False
700,False
679,True
2078,False
2872,True
2328,True
14686,True
4643,True
14843,False
4110,True
15608,False
2239,True
2024,True
18922,True
14999,True
14840,True
15222,False
15008,False
17322,True
16015,False
14994,True
14994,True
1993,True
2713,True
15127,True
2100,True
15806,True
84,True
14994,True
14894,True
14699,True
1006,True
482,False
15227,False
330,False
15494,False
4015,False
1876,False
785,False
2778,True
15242,True
14543,True
14840,True
5540,True
15653,True
14691,True
2713,True
56630,True
15148,True
2096,True
398,False
16994,True
2304,True
2028,True
15156,False
14840,False
299,True
14533,True
14840,True
14736,True
15394,False
24557,True
14840,True
14994,True
14950,False
3869,False
2597,True
14548,True
15001,True
15043,False
14700,True
3283,False
2530,True
2391,True
2459,False
14532,True
14994,True
542,False
2716,False
14853,False
84,True
14860,True
15775,True
2034,True
2820,True
14994,True
2079,False
3380,False
14840,True
14693,True
15284,True
2533,True
3156,True
251,False
15000,True
14840,True
14971,True
2610,True
2038,False
86,True
14534,False
15135,True
1622,True
14689,True
15141,False
2421,False
245,True
14689,True
15285,True
2227,True
14843,False
18125,True
14994,True
2034,True
14840,True
14885,False
14696,True
14845,True
14697,False
2322,True
14840,True
15148,True
14842,True
2484,False
14693,False
14994,True
3593,True
3795,True
2651,True
2737,True
15191,False
14407,True
1167,False
2770,True
2389,True
14840,True
15446,False
15053,True
14844,False
14842,True
16538,False
15275,True
18101,False
2795,True
14892,True
14840,True
2034,True
2034,True
2068,True
14701,True
84,True
15001,False
14840,True
2663,True
14858,True
7543,True
3173,True
4161,True
2339,False
15763,False
14882,False
2555,True
16080,True
2525,True
15012,True
14843,True
14850,True
2032,True
2539,False
14859,True
15532,False
15247,False
14842,True
14860,True
14686,True
3059,True
2096,True
1931,False
14999,True
14994,True
84,True
14554,True
4288,True
2707,True
785,True
2683,True
14840,True
1569,False
2248,True
16217,True
2709,True
14840,True
2534,True
2713,True
15431,False
14997,True
14848,True
15374,False
84,True
2636,False
2536,True
2474,True
15041,False
15879,False
14987,True
4039,True
14843,True
16233,False
88,True
3497,False
14953,False
397,False
2970,True
84,True
14843,True
14840,True
14843,True
2533,True
2053,True
1253,False
289,True
14686,True
14994,True
87,True
14686,True
14994,True
2759,False
15041,False
15054,False
14994,True
14840,True
3618,True
14687,True
14700,True
2153,True
2178,True
2117,True
14840,True
36861,False
84,True
1946,True
14900,False
14551,True
14994,True
14844,True
2559,True
15089,True
14675,False
2034,True
2229,False
3147,True
15797,False
2069,True
15148,True
14691,True
15610,False
15056,False
14712,True
19084,True
14994,True
2302,True
15614,False
14840,True
3297,True
3324,True
14695,False
2661,False
14847,True
14994,True
11113,True
15437,False
14716,True
2034,True
2119,True
17034,False
2048,True
14698,False
14841,True
2809,False
2478,False
14840,True
14840,True
2559,True
14997,True
2255,True
14994,True
15030,False
2724,False
14686,True
14994,True
23199,True
14688,False
4325,False
2659,False
16080,True
2076,True
1993,True
14847,True
42936,True
2359,True
2226,False
3163,False
14840,True
15350,True
14796,False
2658,False
15075,True
3179,True
14688,True
2510,True
747,False
14840,True
6317,False
14853,True
4812,True
830,True
14994,True
14994,True
16306,True
2191,False
2265,True
1984,True
1964,True
15142,True
15594,False
17597,True
14843,True
2834,True
14686,True
14842,True
88,True
2567,True
2391,True
15407,True
14853,True
15682,False
1260,False
14840,True
14686,True
828,True
15083,True
2278,False
14840,True
14858,True
3246,False
14840,True
2149,True
14994,True
14544,True
89,True
14691,False
14687,True
84,True
1993,True
14994,True
14789,False
683,True
3588,False
14844,True
15049,False
15775,True
2636,True
16088,False
299,False
2490,False
15148,True
2539,True
448,True
15153,True
2273,True
14784,False
14843,False
14994,True
2047,True
15191,False
14994,True
3597,True
2858,True
2800,False
2034,True
1118,True
14994,True
15102,True
14994,True
2339,True
2474,True
2575,True
14694,True
14691,True
2034,True
14840,True
14729,False
14691,True
84,True
16671,True
15004,False
14994,True
15293,True
15141,False
14834,False
2612,True
3635,True
2251,True
2608,False
2007,False
2972,True
2299,True
14532,True
2402,False
15393,False
16245,False
15857,True
14689,True
2142,False
14428,True
14994,True
14933,False
3034,False
14875,True
443,False
2379,True
249,False
14994,True
2617,True
839,True
822,False
2269,True
2695,True
14706,True
2083,False
14686,True
1878,False
15039,True
14846,True
1946,True
252,False
15006,False
4173,True
14840,True
1154,True
2604,False
2045,True
14845,True
14840,True
15143,True
2104,True
14897,False
2800,True
20387,False
2034,True
2746,True
15148,True
14843,True
2121,True
14686,True
1020,True
2904,True
14883,False
2189,False
3043,True
14847,True
15645,False
16869,True
2964,False
14840,True
14698,True
14913,True
2119,True
16585,False
14565,False
3065,False
14840,True
15050,False
18168,False
2529,True
2390,False
14578,True
3094,False
2271,True
2086,False
14840,True
2533,True
2385,True
15045,True
14840,True
2698,False
84,False
15454,True
14842,True
3159,True
15980,True
15212,False
1991,True
17700,True
3405,True
14930,False
14544,False
14998,True
85,True
2744,True
3879,True
2056,True
2530,True
3124,True
2314,True
2087,False
15102,True
84,True
2248,True
15538,True
14844,False
2024,True
14997,False
15148,True
437,False
2691,True
2478,False
1992,True
15396,True
14994,True
2993,True
2663,True
14994,True
14994,True
2552,True
2713,True
21583,False
2153,True
14842,True
4004,False
14994,True
84,True
14840,True
14994,True
18050,True
14840,True
2379,False
3476,True
2573,False
84,False
14696,True
87,True
2682,True
14840,True
9987,True
1414,True
14877,True
2815,True
400,False
2269,True
3035,True
2583,True
14936,False
15228,True
2035,False
2773,True
2649,False
18091,True
15882,True
15483,False
14998,True
2158,True
15226,False
14580,False
15060,True
14994,True
15475,False
613,False
2608,True
6601,True
14693,True
2962,True
2554,True
2322,True
2069,True
2141,True
1880,True
2303,True
290,False
14840,True
14714,False
2566,True
16802,False
2791,True
15238,True
452,True
816,False
14693,True
15148,True
14542,True
3437,True
3538,True
14686,True
3022,False
2096,True
14840,True
14994,True
84,True
2612,True
15295,True
2218,False
14840,True
2662,True
2034,True
14852,True
14867,False
14690,True
22573,True
3197,True
15767,True
14844,True
14842,False
2259,True
14840,True
15432,True
2485,True
2121,True
14696,True
2421,False
23498,True
14854,False
14995,True
2628,True
2376,False
14815,False
295,False
295,False
15430,False
2408,True
838,True
14843,True
1571,False
2679,True
14883,True
2625,False
2536,False
2030,True
2332,False
14687,True
2649,True
4699,False
15340,True
24121,True
2895,True
2858,True
15356,False
24901,True
85,True
1327,True
2046,True
14840,True
14842,True
14998,True
2248,True
14840,True
14686,True
2308,True
14691,True
14691,True
14840,True
14994,True
15148,True
17504,False
15141,False
14854,True
14840,True
2669,True
2495,False
2051,True
2971,True
14994,True
15208,True
1969,True
2188,False
14863,True
2258,True
2099,False
84,True
2034,True
3043,True
2248,True
2462,True
24898,True
14994,True
436,True
2561,True
15302,True
15193,False
2017,True
886,False
2889,False
2238,False
14994,True
14843,True
84,True
14698,True
1973,True
2538,False
2096,True
15875,True
1491,False
14840,True
2737,True
15795,True
2330,True
85,True
2322,True
2819,True
85,True
14698,True
2746,True
35477,True
14840,True
2690,False
14994,True
88,True
84,True
14999,True
14840,True
15241,False
2131,True
15079,True
2307,False
14858,True
254,False
2189,False
2005,False
2137,True
2916,False
2800,False
259,False
14705,True
2034,True
14994,True
2096,True
16618,True
84,True
2676,True
2358,True
2397,True
769,True
14840,True
14840,True
14687,True
15040,False
14840,True
15534,False
14840,True
84,True
14994,True
14884,True
485,False
4848,True
14840,True
16007,False
14742,True
14955,False
14994,True
2119,True
2919,True
2691,True
15354,False
15444,True
2400,True
14840,True
3463,True
15626,True
15148,True
2034,True
2675,True
2962,True
14845,True
11360,True
16082,False
2047,True
18080,True
2271,True
8028,False
14693,False
14840,True
3935,False
448,True
14840,True
15486,True
2421,False
2684,True
14994,True
16259,True
14840,True
2391,True
353,False
15000,True
293,True
14840,True
14581,True
527,True
552,False
14700,True
17100,True
14399,True
18739,False
14710,True
14840,True
2186,False
2688,True
15148,True
2322,True
2028,False
2961,True
15353,True
2651,True
16106,True
2048,True
14226,False
14704,True
2483,False
2298,True
14845,True
14693,True
2520,True
735,True
51275,True
14844,True
2075,True
3290,True
2812,True
2798,True
3039,False
1874,False
14891,False
2739,True
2034,True
15678,False
2945,True
2393,False
2632,True
2372,False
16648,True
2028,False
14840,True
15148,True
3400,True
8597,True
14694,True
84,True
2980,False
21301,True
5674,True
15706,False
2248,True
2814,True
3384,True
1967,True
2507,False
2683,True
2883,True
2709,False
2053,True
15438,True
14850,True
254,False
15001,True
2024,True
2386,False
14891,True
14699,False
2341,False
15148,True
2664,True
2530,True
14998,True
14994,True
14780,False
14994,True
15039,True
2343,False
2034,True
2252,True
3123,False
2482,True
14994,True
84,True
14994,True
2248,True
14382,True
2343,True
14858,True
14686,True
3210,True
2158,True
3133,True
14950,False
14840,True
3114,True
14994,True
14887,True
21448,True
2344,True
2119,True
14841,True
2444,False
1967,True
15401,True
14552,True
14994,True
16618,True
15256,True
2894,True
14543,True
16268,True
2034,True
2141,True
1885,False
15317,False
14998,True
15148,True
2251,True
2575,True
2077,False
14858,True
15238,False
4470,False
84,True
15982,False
2307,False
14901,False
14689,True
5768,True
14843,False
2719,True
84,True
15159,False
15248,True
14841,False
2048,True
85,True
2975,True
14842,True
15053,False
14840,True
14689,True
2335,True
15010,True
2536,True
2657,True
15228,True
15854,True
14963,True
254,True
14742,True
14858,False
10702,True
15092,False
14689,True
14994,True
2310,True
14853,False
15000,False
3333,True
16560,True
16099,True
88,True
27544,True
2182,True
15157,True
2143,True
14686,True
14994,True
14995,False
15229,True
14994,True
15131,True
2225,False
2783,True
15006,True
2763,False
2688,True
15649,True
14994,True
15137,False
2799,True
14699,True
2034,True
2099,True
15148,False
15522,False
14996,True
2741,True
15048,False
2654,True
14994,True
2034,True
15129,True
14711,True
14866,False
2028,True
14841,True
14671,False
2265,True
14840,True
14686,True
15611,True
15147,False
15003,True
15148,True
15315,True
3870,True
2552,True
2121,True
18749,True
1989,True
14842,True
14994,True
14840,True
14869,True
2743,True
3664,False
2306,True
14841,False
5826,True
2047,True
15148,True
2739,True
14712,False
14994,True
15169,False
2713,True
14686,True
15325,True
14843,True
2117,True
2233,True
14848,True
2121,True
2059,True
14840,True
4134,True
14849,False
15195,False
619,False
3093,True
2292,True
14848,True
2525,True
14994,True
14843,True
14994,True
14994,True
1923,True
2374,False
2267,True
2123,True
2045,True
2034,False
14856,True
436,False
14560,True
14973,True
15379,False
14696,True
84,True
16091,True
3435,True
2034,True
14686,True
2164,True
2043,False
14849,False
2034,True
895,False
289,True
16463,False
15220,True
2298,False
14993,False
15914,True
15504,False
2760,True
15280,True
2873,True
2151,True
15868,True
2046,True
2096,True
16078,True
2859,True
3958,True
3207,True
14840,True
14840,True
14846,True
14880,False
1871,False
15381,True
15256,False
14842,True
3763,False
14849,True
14840,True
2036,False
14706,True
2665,True
14994,True
15743,False
14746,False
254,True
4528,False
2363,True
84,True
14840,True
14840,True
15041,True
2608,True
14994,True
2059,True
14999,True
14841,True
24205,True
2581,True
2597,True
537,True
2583,True
2530,True
2614,True
2530,True
22869,True
16098,False
2099,True
2119,True
2096,True
15138,False
2121,True
14705,True
1798,True
14994,True
14994,True
14705,True
2685,False
14840,True
252,False
14994,True
14840,True
14791,False
17032,False
15023,True
298,True
2381,True
14841,True
14532,True
14689,True
14997,False
252,True
2373,False
2121,True
2391,True
15002,True
15000,True
14699,True
14741,True
15148,True
15048,False
15096,False
14877,True
14994,True
16437,True
3832,True
2141,True
2261,True
14689,True
2272,False
3346,True
14994,True
3029,True
2304,False
15322,False
2342,False
2086,False
562,True
87,True
15159,False
1714,False
14840,False
15148,True
84,True
3154,False
14997,True
15160,True
14852,False
15148,True
2536,True
15084,False
17163,False
2530,True
84,True
2842,True
2459,False
2259,True
2051,False
2024,True
2113,True
15122,True
86,True
15335,True
14843,True
14708,True
2417,True
5216,True
2229,True
3285,True
2445,True
15936,True
3045,True
14686,True
14983,False
6219,True
2561,True
2100,True
4028,True
16910,True
14840,True
