Steps,Success?
492,True
222,True
21,True
297,True
805,True
424,True
735,True
657,True
568,True
696,True
369,True
1396,True
372,True
65,True
793,True
316,True
122,True
672,True
764,True
66,True
1167,True
670,True
516,True
302,True
113,True
462,True
409,True
507,True
730,True
1331,True
154,True
240,True
292,True
325,True
193,True
427,True
613,True
522,True
556,True
136,True
78,True
271,True
343,True
464,True
1245,True
481,True
473,True
507,True
250,True
295,True
971,True
168,True
227,True
145,True
310,True
167,True
959,True
194,True
1208,True
534,True
913,True
149,True
319,True
201,True
714,True
1132,True
399,True
768,True
623,True
365,True
1213,True
926,True
479,True
417,True
480,True
1123,True
155,True
358,True
56,True
1329,True
521,True
338,True
521,True
1166,True
1148,True
820,True
330,True
587,True
338,True
377,True
805,True
290,True
224,True
356,True
719,True
1184,True
296,True
191,True
878,True
1030,True
889,True
843,True
584,True
465,True
981,True
173,True
314,True
555,True
489,True
84,True
75,True
460,True
476,True
264,True
558,True
1010,True
196,True
256,True
733,True
1120,True
1238,True
80,True
308,True
1124,True
748,True
1267,True
267,True
198,True
290,True
506,True
458,True
596,True
652,True
847,True
847,True
390,True
598,True
675,True
805,True
343,True
701,True
164,True
257,True
316,True
250,True
328,True
294,True
175,True
1050,True
693,True
381,True
269,True
438,True
351,True
485,True
976,True
149,True
305,True
77,True
495,True
1125,True
1353,True
651,True
118,True
175,True
916,True
655,True
418,True
147,True
764,True
417,True
249,True
674,True
124,True
154,True
93,True
163,True
918,True
765,True
329,True
246,True
869,True
409,True
628,True
53,True
330,True
974,True
387,True
281,True
467,True
460,True
122,True
304,True
273,True
378,True
498,True
839,True
713,True
549,True
451,True
2700,True
299,True
640,True
395,True
954,True
745,True
487,True
336,True
299,True
174,True
437,True
282,True
166,True
391,True
412,True
434,True
857,True
717,True
872,True
186,True
685,True
1821,True
278,True
647,True
437,True
57,True
158,True
331,True
932,True
811,True
278,True
589,True
521,True
325,True
387,True
337,True
462,True
250,True
395,True
309,True
605,True
915,True
278,True
1031,True
493,True
481,True
660,True
235,True
479,True
884,True
321,True
226,True
276,True
763,True
439,True
357,True
134,True
805,True
697,True
1068,True
243,True
66,True
720,True
75,True
385,True
486,True
697,True
1172,True
178,True
467,True
372,True
1058,True
111,True
557,True
391,True
254,True
345,True
532,True
773,True
370,True
331,True
714,True
653,True
972,True
106,True
329,True
474,True
229,True
879,True
2070,True
605,True
1058,True
295,True
750,True
304,True
385,True
847,True
293,True
147,True
298,True
675,True
643,True
712,True
1313,True
222,True
999,True
1812,True
173,True
519,True
225,True
425,True
330,True
193,True
559,True
425,True
813,True
135,True
1027,True
203,True
225,True
311,True
101,True
468,True
353,True
437,True
942,True
315,True
347,True
636,True
732,True
298,True
737,True
259,True
967,True
492,True
318,True
145,True
990,True
345,True
412,True
938,True
316,True
228,True
421,True
213,True
246,True
586,True
146,True
218,True
29,True
100,True
488,True
489,True
951,True
163,True
